FEaverage H2,FEaverage CO,FEaverage CH4,FEaverage C2H4,FE formate,FE acetate,FE EtOH,FE n-PrOH,FE C2+
28.36655276,13.00107256,4.403418693,25.74225045,8.339192636,1.450294371,9.064339821,0,36.25688465
63.52904348,2.841979447,0.797748617,7.997429881,9.183600472,1.530600079,2.869875148,0.860962544,13.25886765
18.7121029,11.09740325,8.659213569,36.11373456,5.381322748,2.495685912,13.10235104,0,51.71177151
19.52590546,20.20295181,7.26816901,35.99328532,2.542844837,2.157565317,12.02072105,0,50.17157169
21.92631117,20.08577594,10.70802448,29.28695573,3.905898795,3.254915663,6.835322892,0,39.37719428
26.66110643,20.364307,7.518122968,28.66990134,5.940762318,1.466854893,11.0014117,0,41.13816794
102.7765631,1.141866,0,0,9.198054166,0,4.180933712,0,4.180933712
32.618736,11.599992,3.3722496,17.8430688,13.16745928,1.638617155,7.724909444,3.160190227,30.36678563
34.36753217,11.11924259,7.782187972,19.97959972,13.99580947,2.488143906,11.66317456,0,34.13091818
26.20416829,17.83906834,3.312982808,28.45459905,3.74525878,1.597977079,9.887483179,1.348293161,41.28835247
36.91745904,6.024130851,4.508138298,26.82237447,8.687528361,1.621671961,12.85754197,2.085006807,43.38659521
19.28829767,16.58329116,11.92500837,22.67658419,3.775086658,3.355632585,14.68089256,0,40.71310933
30.50474464,21.64668348,3.005775,26.79328125,6.508586616,1.446352581,7.7483174,0,35.98795123
43.60346682,10.04467976,3.979101176,13.55955247,20.39248939,2.039248939,2.549061173,0,18.14786258
18.85337308,10.65704538,8.508655385,38.14339846,2.414280608,2.253328567,15.93425201,0,56.33097904
19.97207253,16.2081218,6.035124706,30.10869592,5.011795978,3.037452108,14.57977012,0,47.72591814
50.41043077,4.003993846,9.595569231,14.40952615,4.860730639,2.25425189,8.453444589,0,25.11722263
30.93451868,10.48276132,7.813687947,32.15418914,2.306939542,2.153143573,15.68718889,0,49.9945216
22.71576401,18.17064241,13.4441097,24.05595612,3.68550014,2.890588345,13.87482406,0,40.82136852
36.86343094,20.13136655,2.666755084,11.3316827,15.23561271,1.154213084,4.155167103,0,16.64106289
35.16237851,13.21269493,2.17143403,24.65142448,7.045358635,0.916469416,10.65395696,0,36.22185085
31.56417649,15.4721468,3.766980619,19.32474062,16.40202552,1.901684118,7.844446986,2.674243291,31.74511501
24.88716,6.0131925,8.77752,30.7476,2.400568539,2.489478485,18.13762896,0,51.37470745
18.47087778,3.219461723,5.726452431,36.07985243,3.491043092,2.585957846,22.49783326,0.581840515,61.74548406
26.78078582,2.026439283,7.069215299,35.8021549,2.594403776,3.074848919,17.29602517,0,56.17302899
25.20583863,18.88572287,11.29699167,28.57828915,4.349028078,2.609416847,12.61218143,0,43.79988742
27.32268771,8.596870334,3.475580668,37.69849111,4.823718285,2.382083104,16.43637342,1.607906095,58.12485372
