Feature,Effect
Kappa2,++++++++++++
Mid-Fun_PEOE-Charge_Sum,-----------
VSA_EState8,----------
Num of Conju-All-Atoms,---------
Atom1_ESP Maximal value (kcal/mol),++++++++
NOCount,-------
PEOE_VSA12,++++++
Disulfide,-----
Conju_LogP_Min,++++
Long/Sum Size Ratio,---
Conju_LogP_Max,++
Atom1_ESP Pi (kcal/mol),+
