Feature,Effect
c1ccncc1,+++++++++++++++
PEOE_VSA2,--------------
Atom1_ALIE Max value,-------------
VSA_EState7,------------
Conju_LogP_Max,-----------
HallKierAlpha,----------
Mid-Fun_LogP_Max,---------
MaxAbsEStateIndex,--------
SMR_VSA1,-------
Mid-Fun_LogP_Mean,++++++
PEOE_VSA9,+++++
Atom_LogP_Delta,++++
BalabanJ,+++
Dialkylthioether,--
Fun_PEOE-Charge_Min,-
