Feature,Effect
Iaverage / mA cm-2,------------
Fun_PEOE-Charge_Delta,-----------
Atom_MR_Std,++++++++++
Atom_PEOE-Charge_Sum,---------
c1ccncc1,--------
EState_VSA7,+++++++
SMR_VSA4,------
Atom1_ESP Pi (kcal/mol),+++++
HOMO,----
SMR_VSA10,---
PEOE_VSA10,++
SMR_VSA5,-
