Feature,Effect
Iaverage / mA cm-2,++++++++++++
Atom_LogP_Mean,-----------
Long/Sum Size Ratio,++++++++++
Mid-Fun_PEOE-Charge_Mean,+++++++++
Fun_LogP_Mean,++++++++
ALIE Variance,+++++++
SlogP_VSA4,------
Atom1_ALIE Min value,-----
Carboxylic_acid,----
PEOE_VSA3,+++
PEOE_VSA7,++
Mid-Fun_MR_Sum,+
