Conju-Part-Wt (Max-Conju),Long/Sum Size Ratio,Atom1_ESP Maximal value (kcal/mol),VSA_EState7,SlogP_VSA4,Atom1_ESP Pi (kcal/mol),Conju_LogP_Min,Mid-Fun_PEOE-Charge_Sum,Molecular Size Long,Max Conju-Distance (Max-Conju),PEOE_VSA12,NOCount,Farthest Distance,ALIE Minimal Value,NumRotatableBonds,SlogP_VSA10,Molecular Radius,PEOE_VSA11,c1nc_nH_n1,Conju_LogP_Mean,TPSA,Num of Conju-All-Atoms,Disulfide,Kappa3,Conju_LogP_Max,c1ccc2occcc2c1,Arylbromide,Kappa2,Sulfonic_derivative,Secondary_arom_amine,Primary_arom_amine,NHOHCount,VSA_EState8,Nitro
0.0,0.390298464,74.261297,0.0,0.0,11.727479,0.0,-0.532001686,6.63,0,0.0,3,4.277,11.25541,0,0.0,3.498,0.0,0,0.0,35.53,0,0,0.76741862,0.0,0,0,1.680188277,0,0,0,0,0.929783951,0
72.066,0.442475317,45.209236,1.373677485,0.0,14.389348,1.5415,-0.013187509,10.711,3,0.0,0,8.356,7.99948,1,0.0,5.378,0.0,0,1.5415,0.0,6,0,1.989127917,1.5415,0,0,4.239941416,0,0,0,0,0.0,0
0.0,0.456054271,38.574767,0.0,0.0,13.310148,0.0,-0.175297376,10.689,0,0.0,0,8.375,8.1674,1,0.0,5.388,0.0,0,0.0,0.0,0,1,8.7,0.0,0,0,3.397625989,0,0,0,0,13.47861111,0
0.0,0.424571634,34.521535,0.0,16.74788698,13.388496,0.0,-0.069697112,10.63,0,0.0,0,7.868,7.83618,3,0.0,5.134,0.0,0,0.0,0.0,0,0,2.231257669,0.0,0,0,3.490301323,0,0,0,0,18.32766975,0
58.085,0.366774383,4.77268,0.0,5.917906046,9.394585,-0.2207,0.0,7.491,2,0.0,1,4.98,7.38898,1,0.0,3.69,0.0,0,-0.2207,26.02,3,0,2.147069409,-0.2207,0,0,2.13293427,0,0,0,2,3.949074074,0
58.085,0.388292568,6.74964,0.0,0.0,9.79053,-0.2207,0.0,6.62,2,0.0,1,4.002,7.40304,0,0.0,3.201,0.0,0,-0.2207,26.02,3,0,123.7247107,-0.2207,0,0,1.236020761,0,0,0,2,1.675925926,0
0.0,0.38010111,39.119219,0.0,0.0,13.877165,0.0,-0.145098471,7.293,0,0.0,0,5.158,8.04973,1,0.0,3.779,0.0,0,0.0,0.0,0,0,2.912765957,0.0,0,0,2.804923145,0,0,0,0,4.057098765,0
208.266,0.448794621,33.056,0.0,13.8474744,13.423975,4.1958,-0.281641578,12.082,9,0.0,0,9.699,8.5447,3,0.0,6.049,0.0,0,4.1958,0.0,14,1,3.323213223,4.1958,0,0,5.462987087,0,0,0,0,4.225321622,0
104.133,0.452429993,99.15258,0.0,6.9237372,15.52818,1.4473,-0.044129705,10.324,4,10.02329115,3,8.197,9.6559,1,0.0,5.298,0.0,0,1.4473,60.16,7,0,2.027551906,1.4473,0,0,2.636173638,1,0,0,2,1.8818613,0
82.107,0.411276949,70.053316,0.746527778,6.9237372,12.347912,0.8529,-0.305812528,8.928,2,0.0,2,6.713,8.95594,2,0.0,4.556,0.0,0,0.8529,33.12,5,0,1.496283654,0.8529,0,0,2.939142785,0,0,0,1,2.185046296,0
