MaxPartialCharge,ESP Minimal Value,Mid-Fun_PEOE-Charge_Sum,Atom_MR_Delta,MinAbsPartialCharge,VSA_EState7,EState_VSA10,Mid-Fun_PEOE-Charge_Mean,NumAliphaticRings,Tri_boron,Iaverage / mA cm-2,SlogP_VSA5,PEOE_VSA12,Arylchloride,Octopole Moment,SlogP_VSA4,PEOE_VSA9,ALIE Maximal Value,Arylthiol,ODI HOMO-1,Primary_arom_amine,NHOHCount,EState_VSA5,NumHDonors,Atom_PEOE-Charge_Min,Alkene,Arylfluoride,PEOE_VSA14,Secondary_aliph_amine,Fun_PEOE-Charge_Mean,MaxAbsPartialCharge
0.001676234,-34.99482,-0.073428046,6.534,0.001676234,6.963904321,0.0,-0.073428046,1,0,88.66666667,32.10410811,0.0,0,37.8531,0.0,0.0,15.93071,0,25.37,0,0,32.10410811,1,-0.175947007,0,0,0.0,0,-0.073428046,0.175930136
0.304265896,-61.26469,-0.532001686,6.5876,0.265993951,0.0,4.208898492,-0.266000843,1,0,94.66666667,0.0,0.0,0,31.6184,0.0,13.21376393,16.52853,0,34.76,0,0,0.0,0,-0.266000843,0,0,11.36131649,0,-0.266000843,0.304265896
0.075079788,-34.32283,-0.013187509,6.534,0.075079788,1.373677485,0.0,-0.013187509,1,0,79.33333333,16.56624313,0.0,0,113.1504,0.0,4.581970014,15.77723,0,13.2,0,0,23.48998033,0,-0.142733266,0,0,0.0,0,-0.013187509,0.142719014
0.017895027,-36.37504,-0.175297376,6.534,0.017895027,0.0,0.0,-0.175297376,0,0,80.0,41.5424232,0.0,0,20.1901,0.0,0.0,15.13757,0,15.59,0,0,0.0,0,-0.087648688,0,0,0.0,0,-0.175297376,0.087633231
0.012927956,-37.63563,-0.069697112,6.534,0.012927956,0.0,0.0,-0.069697112,0,0,92.66666667,55.3898976,0.0,0,94.9984,16.74788698,0.0,14.7736,0,16.55,0,0,0.0,1,-0.17251609,0,0,0.0,0,-0.069697112,0.172499827
0.075265653,-54.28728,0.0,6.6283,0.075265653,0.0,0.0,0.0,0,0,89.66666667,13.8474744,0.0,0,39.3642,5.917906046,4.988502102,17.52551,0,7.69,0,2,0.0,1,-0.393109944,0,0,0.0,0,0.0,0.393106796
0.069536245,-55.15575,0.0,6.6283,0.069536245,0.0,0.0,0.0,0,0,130.3333333,6.9237372,0.0,0,32.2548,0.0,4.988502102,17.58893,0,13.78,0,2,0.0,1,-0.393555488,0,0,0.0,0,0.0,0.39355196
0.010230863,-39.78759,-0.145098471,6.534,0.010230863,0.0,0.0,-0.072549236,0,0,96.0,13.8474744,0.0,0,34.6807,0.0,0.0,15.35504,0,19.52,0,0,0.0,2,-0.175098243,0,0,0.0,0,-0.072549236,0.175082201
0.018596781,-31.32258,-0.281641578,6.534,0.018596781,0.0,0.0,-0.093880526,0,0,103.0,11.12690298,0.0,0,77.5775,13.8474744,0.0,15.41951,2,7.39,0,0,20.91786993,0,-0.058188549,0,0,0.0,0,-0.042643609,0.058182115
0.237545435,-71.03986,-0.044129705,6.5876,0.224628407,0.0,8.417796984,-0.044129705,0,0,102.6666667,5.563451492,10.02329115,0,173.5453,6.9237372,4.895483476,17.60573,0,15.28,0,2,12.13273414,1,-0.224623768,0,0,0.0,0,-0.022064852,0.237545435
