Atom_MR_Std,EState_VSA7,Atom1_ESP All average (kcal/mol),Iaverage / mA cm-2,Fun_PEOE-Charge_Std,NumAliphaticRings,Long/Sum Size Ratio,VSA_EState7,NumAliphaticCarbocycles,c1ccncc1,Tri_boron,PEOE_VSA10,NumSaturatedCarbocycles,SMR_VSA4,Arylchloride,SlogP_VSA5,NumHDonors,Farthest Distance,Atom1_ESP Pi (kcal/mol),Fun_PEOE-Charge_Delta,SlogP_VSA4,SlogP_VSA7,Tertiary_arom_amine,Alkylfluoride,Alcohol,NumSaturatedRings,Molecular Size Long,Conju_PEOE-Charge_Delta,Conju_PEOE-Charge_Std,c1nc_nH_n1,c1c_nH_cn1,c1ccc2sc_n+_c2c1,c1cc_nH_c1,Atom_PEOE-Charge_Sum,Alkene,HOMO,SMR_VSA10,SMR_VSA5,Amide,Secondary_arom_amine,Trifluoromethyl
1.778633504,29.77600755,45.19461,131.6666667,0.233937263,0,0.379881527,0.0,0,0,0,4.699919916,0,0.0,0,0.0,1,8.235,15.882981,0.629940853,0.0,0.0,0,0,0,0,10.389,0.629940853,0.314970426,0,0,1,0,-1.11e-16,0,-0.204303,27.5227118,6.544756406,0,0,0
1.825184863,24.26546827,27.80538,111.3333333,0.055055634,0,0.486640472,7.204135802,0,2,0,0.0,0,0.0,0,0.0,0,10.147,14.323394,0.15733458,0.0,0.0,0,0,0,0,12.385,0.0,0.0,0,0,0,0,1.39e-17,0,-0.252538,21.58779595,9.790966951,0,0,0
1.765657012,17.51279691,26.41994,150.3333333,0.044273433,0,0.440357575,0.150462963,0,0,0,0.0,0,0.0,0,4.877147194,1,6.807,12.823732,0.088546866,0.0,0.0,0,0,0,0,9.458,0.088546866,0.044273433,0,0,0,0,-1.94e-16,0,-0.241916,17.30609117,6.420821623,0,0,0
1.503770596,0.0,-10.45241,88.66666667,0.0,1,0.383275434,6.963904321,1,0,0,0.0,1,0.0,0,32.10410811,1,4.992,13.423698,0.0,0.0,0.0,0,0,0,1,7.723,0.0,0.0,0,0,0,0,3.47e-17,0,-0.23833,12.62878915,37.35404614,0,0,0
1.914242003,0.0,39.90191,94.66666667,0.0,1,0.390298464,0.0,0,0,0,0.0,0,0.0,0,0.0,0,4.277,11.727479,0.0,0.0,0.0,0,0,0,1,6.63,0.0,0.0,0,0,0,0,2.78e-16,0,-0.299519,11.36131649,0.0,0,0,0
1.843006918,0.0,-6.65639,79.33333333,0.0,1,0.442475317,1.373677485,0,0,0,0.0,0,0.0,0,16.56624313,0,8.356,14.389348,0.0,0.0,0.0,0,0,0,1,10.711,0.0,0.0,0,0,0,0,-5.55e-17,0,-0.219517,23.5237699,11.00279164,0,0,0
1.701368603,21.58779595,-5.85147,80.0,0.0,0,0.456054271,0.0,0,0,0,0.0,0,0.0,0,41.5424232,0,8.375,13.310148,0.0,0.0,0.0,0,0,0,0,10.689,0.0,0.0,0,0,0,0,2.08e-17,0,-0.223798,21.58779595,51.0364681,0,0,0
1.165184628,0.0,-12.91018,92.66666667,0.0,0,0.424571634,0.0,0,0,0,0.0,0,16.74788698,0,55.3898976,1,7.868,13.388496,0.0,16.74788698,0.0,0,0,0,0,10.63,0.0,0.0,0,0,0,0,-2.36e-16,0,-0.232072,12.62878915,60.13692005,0,0,0
1.812263988,13.8474744,-32.74626,89.66666667,0.0,0,0.366774383,0.0,0,0,0,0.0,0,11.65157352,0,13.8474744,1,4.98,9.394585,0.0,5.917906046,0.0,0,0,0,0,7.491,0.0,0.0,0,0,0,0,0.0,0,-0.217332,17.20637554,13.8474744,0,0,0
2.191730149,0.0,-32.86015,130.3333333,0.0,0,0.388292568,0.0,0,0,0,0.0,0,5.733667477,0,6.9237372,1,4.002,9.79053,0.0,0.0,0.0,0,0,0,0,6.62,0.0,0.0,0,0,0,0,-3.05e-16,0,-0.218642,17.20637554,6.9237372,0,0,0
