Conju-Part-Wt (Max-Conju),VSA_EState7,Fun_MR_Sum,Num of Conju-All-Atoms,Conju_PEOE-Charge_Max,Fun_LogP_Sum,EState_VSA10,SMR_VSA9,Conju_LogP_Max,PEOE_VSA12,NumSaturatedRings,Conju_MR_Sum,Octopole Moment,VSA_EState8,Conju_LogP_Min,SlogP_VSA10,PEOE_VSA14,MolLogP,Mid-Fun_LogP_Delta,Arylchloride,MaxAbsEStateIndex,NumAliphaticRings,Length/Diameter,Conju_LogP_Mean,EState_VSA2,NumRotatableBonds,SlogP_VSA7,MaxAbsPartialCharge,Secondary_arom_amine,Fun_LogP_Min,Thioacetal,EState_VSA6,Atom1_ALIE Min value,SlogP_VSA6,Mid-Fun_MR_Delta,EState_VSA5,Sulfon,HOMO,Primary_arom_amine,Alkene,c1ccc2sc_n+_c2c1,Nitro,c1ccc2occcc2c1,Lactone,Farthest Distance,Oxoarene,Conju_PEOE-Charge_Delta,c1ccsc1,Conju_PEOE-Charge_Std
107.519,0.0,39.54,7,-0.030586193,2.5754,0.0,0.0,2.1949,0.0,0,30.554,107.7112,0.0,2.1949,0.0,0.0,2.7698,1.8144,1,5.775478395,0,0.997228145,2.1949,0.0,1,5.022633314,0.174496838,0,0.3805,0,0.0,8.226418,24.26546827,21.568,0.0,0,-0.243797,0,0,0,0,0,0,6.381,0,0.0,0,0.0
236.28,0.0,103.7868,16,0.0,6.2432,0.0,0.0,3.6504,0.0,0,73.4228,40.9573,0.0,3.6504,11.37477255,0.0,3.6504,3.6706,0,5.857339695,0,0.947184362,3.6504,0.0,3,0.0,0.397796927,0,-0.5986,0,21.58779595,8.60425,58.3219035,34.7976,0.0,0,-0.211203,2,0,0,0,0,0,8.752,0,0.0,0,0.0
72.066,0.0,34.53,6,-0.028941286,1.922,0.0,0.0,1.5415,0.0,0,25.544,94.4402,0.0,1.5415,0.0,0.0,2.1164,1.161,0,4.110123457,0,0.999358014,1.5415,0.0,1,0.0,0.174553041,0,0.3805,0,0.0,8.141988,30.33183534,16.558,5.563451492,0,-0.238844,0,0,0,0,0,0,6.345,0,0.0,0,0.0
176.199,0.0,58.3358,13,0.43707591,2.5194,8.417796984,0.0,3.1872,9.837253136,0,56.781,172.0968,0.0,3.1872,0.0,0.0,2.5194,1.5948,0,12.0337963,0,1.0,3.1872,0.0,2,0.0,0.218514326,0,-0.6702,0,60.66367068,13.951587,70.45463764,24.708,0.0,1,-0.267679,0,0,0,0,0,0,8.764,0,0.0,0,0.0
208.266,0.0,94.962,14,1.87e-16,7.0788,0.0,0.0,4.486,0.0,0,64.598,53.1116,0.0,4.486,0.0,0.0,4.486,1.5948,0,2.125601852,0,0.95890411,4.486,0.0,3,0.0,0.062188378,0,0.6482,0,21.58779595,8.610768,70.45463764,24.708,9.790966951,0,-0.237072,0,0,0,0,0,0,9.134,0,0.0,0,0.0
130.151,0.0,128.5818,12,0.574892792,4.6724,4.794537184,0.0,1.5012,17.5719964,0,45.0538,272.9509,0.031759259,-0.4222,0.0,5.969305288,-1.7226,1.9234,0,10.49415108,0,0.976960692,0.5395,23.52620726,2,0.0,1.0,0,-0.4222,0,15.90388553,10.493687,29.77600755,29.7822,0.0,0,-0.204303,0,0,1,0,0,0,8.235,0,0.629940853,0,0.314970426
212.258,7.204135802,90.552,14,-9.71e-17,5.8688,0.0,0.0,3.276,0.0,0,60.188,254.469,0.0,3.276,0.0,0.0,3.276,0.9898,0,3.967781872,0,0.987167225,3.276,0.0,3,0.0,0.264653288,0,0.6482,0,46.37517024,9.342854,58.84380951,22.503,9.790966951,0,-0.252538,0,0,0,0,0,0,10.147,0,0.0,0,0.0
80.111,0.150462963,31.0568,8,-0.040070805,1.1808,4.794537184,0.0,1.603,0.0,0,31.0568,141.1088,0.0,-0.4222,0.0,5.969305288,1.3752,2.0252,0,10.07333333,0,0.992861642,0.5904,6.420821623,2,0.0,0.480964593,0,-0.4222,0,0.0,9.586983,17.51279691,15.7852,11.33678588,0,-0.241916,0,0,0,0,0,0,6.807,0,0.088546866,1,0.044273433
0.0,6.963904321,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,1,0.0,37.8531,0.0,0.0,0.0,0.0,2.2489,0.0,0,4.36132716,1,1.044778139,0.0,0.0,0,0.0,0.175930136,0,0.3805,0,0.0,8.00382,0.0,0.0,32.10410811,0,-0.23833,0,0,0,0,0,0,4.992,0,0.0,0,0.0
0.0,0.0,2.17,0,0.0,-0.1368,4.208898492,0.0,0.0,0.0,1,0.0,31.6184,0.929783951,0.0,0.0,11.36131649,-0.3881,0.0,0,9.909722222,1,0.947684391,0.0,0.0,0,0.0,0.304265896,0,-0.0684,0,0.0,11.255411,0.0,0.0,0.0,0,-0.299519,0,0,0,0,0,0,4.277,0,0.0,0,0.0
