Feature,Effect
Iaverage / mA cm-2,+++++++
Alkylthiol,++++++
PEOE_VSA8,+++++
VSA_EState10,----
Atom_LogP_Delta,---
HOMO-LUMO Gap,--
SMR_VSA4,+
