Conju-Strut Wiener Index (Max-Conju),NumAromaticRings,Fun_PEOE-Charge_Mean,Full-Mol Wiener Index,Conju_PEOE-Charge_Max,Mid-Fun_LogP_Delta,Chi2v,PEOE_VSA9,Atom_MR_Max,Occupied Orbitals,Atom1_ALIE Min value,PEOE_VSA1,Alcohol,ExactMolWt,Conju_LogP_Std,Atom_LogP_Max,Mid-Fun_PEOE-Charge_Mean,VSA_EState8,LUMO,Conju_PEOE-Charge_Min,Althoxyl,Sulfon,Num of Conju-Strut,VSA_EState3,LabuteASA,Conju_MR_Std,Nitro,Conju_MR_Delta,Arylchloride,Primary_arom_amine,Conju_PEOE-Charge_Mean,Conju_PEOE-Charge_Delta,HeavyAtomMolWt,Arylfluoride,MaxAbsPartialCharge,Conju_PEOE-Charge_Sum,c1ccc2sc_n+_c2c1,MolWt,c1nc_nH_n1,Chi2n,SlogP_VSA7,VSA_EState9,Chi0v,Mid-Fun_PEOE-Charge_Max,Fun_PEOE-Charge_Sum,Octopole Moment,NumAliphaticCarbocycles,Conju_PEOE-Charge_Std,ALIE Average Value,PEOE_VSA6,Max Conju-Distance (Max-Conju),PEOE_VSA4,Amide,Sulfonic_derivative,c1c_nH_cn1,Conju_LogP_Delta,NumHDonors,Tri_boron,c1cc_nH_c1,c1ccc2_nH_ccc2c1,c1ccc2cc3ccccc3cc2c1,Atom_PEOE-Charge_Sum,c1cn_nH_c1,Mid-Fun_PEOE-Charge_Sum,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,c1ccc2ncccc2c1,c1nncs1,Alkylchloride,Alkylbromide,Atom_LogP_Delta,Tertiary_aliph_amine,Aldehyde,Oxime,Acetal,Hemiacetal,Chloroalkene,Molecule Weight,Bromoalkene,Enol,Carboxylic_ester,Atom_PEOE-Charge_Mean,Nitrile,Aryliodide,Azo,Alkene,LEAE Minimal Value,Quadrupole Moment,NumHAcceptors,PEOE_VSA3,Lactam,Atom1_ESP Pi (kcal/mol)
0.9,1,-0.051288552,1.142857143,-0.030644618,0.556,1.835615204,0.0,7.591,33,8.201926,0.0,0,125.0299202,0.0,0.6482,-0.051288552,0.0,-0.03642,-0.030644618,0,0,1,0.0,54.17105988,0.0,0,0.0,0,0,-0.030644618,0.0,118.14,0,0.26441694,-0.030644618,0,125.196,0,1.519387438,0.0,0.0,5.30536224,-0.030644618,-0.102577104,111.3044,0,0.0,11.96444,6.066367068,3,12.62878915,0,0,0,0.0,1,0,0,0,0,6.94e-17,0,-0.102577104,0,0,0,0,0,0,0.9721,0,0,0,0,0,0,125.19149,0,0,0,4.63e-18,0,0,0,0,-0.77813,13.764713,2,0.0,0,14.522093
2.578947368,2,-0.01365631,2.578947368,-8.33e-17,2.2978,5.717081406,11.12690298,7.591,79,9.284788,10.21305479,0,307.9925487,0.0,0.6482,0.042960122,0.0,-0.069216,-8.33e-17,0,0,1,18.7743059,121.2153714,0.0,0,0.0,0,0,-8.33e-17,0.0,300.276,0,0.477598624,-8.33e-17,0,308.34,0,3.54719518,0.0,2.621776266,11.51894232,0.181087127,-0.122906793,734.6705,0,0.0,12.70287,0.0,13,0.0,0,0,0,0.0,2,0,0,0,0,-1.94e-16,0,0.300720857,0,0,0,0,0,0,0.9721,0,0,0,0,0,0,308.33296,0,0,0,-6.94e-18,0,0,0,0,-1.57883,71.84687,6,19.55703141,0,15.788872
2.231578947,2,-0.020020705,2.231578947,2.08e-16,3.3446,5.829321769,19.63758905,7.591,79,9.0124,0.0,0,307.9925487,0.0,0.6482,0.246051832,0.0,-0.107055,2.08e-16,0,0,1,21.76597411,121.4406309,0.0,2,0.0,0,0,2.08e-16,0.0,300.276,0,0.28324563,2.08e-16,0,308.34,0,3.616335625,0.0,2.261203704,11.59571225,0.906227996,-0.180186341,196.6765,0,0.0,12.71757,24.26546827,9,0.0,0,0,0,0.0,0,0,0,0,0,1.53e-16,0,1.722362822,0,0,0,0,0,0,0.9878,0,0,0,0,0,0,308.33296,0,0,0,5.45e-18,0,0,0,0,-1.68468,50.94321,6,0.0,0,14.204405
1.0,1,-0.034173969,1.194444444,-0.030586193,1.8144,2.472951327,0.0,7.591,41,8.226418,0.0,0,157.9956989,0.0,0.6895,-0.051260954,0.0,-0.030894,-0.030586193,0,0,1,0.798611111,65.25467812,0.0,0,0.0,1,0,-0.030586193,0.0,151.597,0,0.174496838,-0.030586193,0,158.653,0,1.749523434,5.022633314,0.0,6.492042063,-0.030586193,-0.102521907,107.7112,0,0.0,11.97781,29.8000411,4,12.62878915,0,0,0,0.0,1,0,0,0,0,2.78e-17,0,-0.102521907,0,0,0,0,0,0,0.9572,0,0,0,0,0,0,158.64846,0,0,0,1.73e-18,0,0,0,0,-0.61555,9.722465,1,0.0,0,14.473768
1.966666667,2,-0.02235954,1.966666667,0.0,3.6706,5.45530498,0.0,7.591,65,8.60425,11.46733495,0,248.0441904,0.0,0.6482,0.034358967,0.0,-0.075725,0.0,0,0,1,0.0,102.8144609,0.0,0,0.0,0,2,0.0,0.0,236.28,0,0.397796927,0.0,0,248.376,0,3.242318835,0.0,3.251944444,10.22299243,0.17056535,-0.201235859,40.9573,0,0.0,11.95369,45.85326423,9,0.0,0,0,0,0.0,2,0,0,0,0,5.55e-17,0,0.240512771,0,0,0,0,0,0,1.6752,0,0,0,0,0,0,248.3671,0,0,0,1.98e-18,0,0,0,0,-1.70207,20.878964,4,0.0,0,13.201513
0.9,1,-0.050467117,1.142857143,-0.028941286,1.161,1.959940209,0.0,7.591,33,8.141988,0.0,0,124.0346713,0.0,0.6482,-0.050467117,0.0,-0.022527,-0.028941286,0,0,1,0.0,54.9514119,0.0,0,0.0,0,0,-0.028941286,0.0,116.144,0,0.174553041,-0.028941286,0,124.208,0,1.643712443,0.0,0.0,5.435498914,-0.028941286,-0.100934235,94.4402,0,0.0,11.83525,30.33183534,3,12.62878915,0,0,0,0.0,1,0,0,0,0,-3.47e-17,0,-0.100934235,0,0,0,0,0,0,0.9159,0,0,0,0,0,0,124.20346,0,0,0,-2.17e-18,0,0,0,0,-0.45053,9.855093,1,0.0,0,14.448232
1.692307692,2,-1.85e-17,1.676190476,0.43707591,1.5948,5.079224464,9.790966951,7.365,57,13.951587,0.0,0,218.0401506,0.0,0.1893,-0.077002361,0.0,-0.060182,0.43707591,0,1,1,0.0,89.11389571,0.0,0,0.0,0,0,0.43707591,0.0,208.197,0,0.218514326,0.43707591,0,218.277,0,3.129541847,0.0,-3.338981481,8.814744144,-2.78e-17,-5.55e-17,172.0968,0,0.0,12.52871,36.39820241,8,0.0,0,0,0,0.0,0,0,0,0,0,-1.11e-16,0,-0.231007083,0,0,0,0,0,0,0.5232,0,0,0,0,0,0,218.27184,0,0,0,-4.44e-18,0,0,0,0,-0.85814,23.459458,2,8.417796984,0,19.68101
1.884615385,2,-0.030035332,1.884615385,1.87e-16,1.5948,5.068914101,0.0,7.591,57,8.610768,0.0,0,218.0223923,0.0,0.6482,-0.035041221,0.0,-0.071912,1.87e-16,0,0,1,0.0,92.13467946,0.0,0,0.0,0,0,1.87e-16,0.0,208.266,0,0.062188378,1.87e-16,0,218.346,0,2.792771726,0.0,3.58037037,9.222992435,1.87e-16,-0.210247324,53.1116,0,0.0,11.83529,57.98599836,9,0.0,0,0,0,0.0,0,0,0,0,0,1.39e-16,0,-0.105123662,0,0,0,0,0,0,0.5252,0,0,0,0,0,0,218.33781,0,0,0,5.78e-18,0,0,0,0,-1.58927,15.469872,2,0.0,0,13.663008
1.097222222,2,0.399476354,1.544871795,0.574892792,1.9234,3.598972196,0.0,6.691,68,10.493687,22.08797825,0,272.9459116,0.9617,0.6237,0.259922365,0.031759259,-0.075466,-0.055048061,0,0,2,8.628543084,95.38139258,14.8911,0,29.7822,0,0,0.259922365,0.629940853,266.075,0,1.0,0.519844731,1,274.139,0,2.712625019,0.0,0.0,9.585239492,0.574892792,1.997381771,272.9509,0,0.314970426,12.14099,23.46952001,4,4.567099648,0,0,0,1.9234,1,0,0,0,0,-1.11e-16,0,0.519844731,0,0,0,0,0,0,3.6197,0,0,0,0,0,0,274.13398,0,0,0,-5.05e-18,0,0,0,0,-2.05569,54.555036,2,4.794537184,0,15.882981
1.884615385,2,-0.029968491,1.884615385,-9.71e-17,0.9898,4.808640753,0.0,7.591,57,9.342854,0.0,0,220.0128903,0.0,0.6482,-0.03496324,0.0,-0.05741,-9.71e-17,0,0,1,0.0,90.57397542,0.0,0,0.0,0,0,-9.71e-17,0.0,212.258,0,0.264653288,-9.71e-17,0,220.322,0,2.532498378,0.0,3.444814815,8.962719087,-9.71e-17,-0.20977944,254.469,0,0.0,12.09492,21.58779595,9,0.0,0,0,0,0.0,0,0,0,0,0,1.39e-17,0,-0.10488972,0,0,0,0,0,0,0.9721,0,0,0,0,0,0,220.31387,0,0,0,6.31e-19,0,0,0,0,-1.71428,20.021684,4,0.0,0,14.323394
