Fun_LogP_Mean,VSA_EState6,Mid-Fun_PEOE-Charge_Sum,VSA_EState7,AtomWt Conju-All Ratio,Product of sigma^2_tot and nu ((kcal/mol)^2),Conju_LogP_Sum,SlogP_VSA4,Arylchloride,Length/Diameter,NumSaturatedHeterocycles,Atom_MR_Mean,SMR_VSA7,ALIE Average Value,VSA_EState8,EState_VSA10,Alkene,Arylfluoride,SlogP_VSA7,MaxAbsPartialCharge,HOMO-LUMO Gap,Sulfonic_derivative,Mid-Fun_PEOE-Charge_Mean,PEOE_VSA12,EState_VSA5,PEOE_VSA4,Mid-Fun_PEOE-Charge_Max,Conju_MR_Std,SMR_VSA9,c1ccc2sc_n+_c2c1,PEOE_VSA11,Mid-Fun_MR_Std,NumSaturatedRings,Secondary_arom_amine,ALIE Maximal Value,ALIE Minimal Value,SlogP_VSA10,Kappa2,NumAliphaticCarbocycles,Conju_PEOE-Charge_Std,Atom_PEOE-Charge_Mean,Alkylfluoride,Thioacetal,c1ccc2scnc2c1,PEOE_VSA13,SlogP_VSA6,NumSaturatedCarbocycles,Atom_PEOE-Charge_Sum,c1nc_nH_n1,Trifluoromethyl,c1c_nH_cn1,c1cc_nH_c1,c1ccc2_nH_ccc2c1,c1ccc2cc3ccccc3cc2c1,Conju_PEOE-Charge_Delta,c1cn_nH_c1,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,Mid-Fun_LogP_Std,Atom_PEOE-Charge_Delta,Alcohol,c1ccc2ncccc2c1,Dipole Moment (a.u.),ESP Maximal Value,NumAliphaticHeterocycles,EState_VSA1
0.6585,3.908287037,-0.102577104,3.569382716,0.591568421,173.81154,0.9365,0.0,0,0.999353448,0,2.4618,30.08987277,11.96444,0.0,0.0,0,0,0.0,0.26441694,0.20708,0,-0.051288552,0.0,0.0,12.62878915,-0.030644618,0.0,0.0,0,0.0,7.1765,0,0,15.86225,8.20193,0.0,2.721453287,0,0.0,4.63e-18,0,0,0,0.0,24.52642128,0,6.94e-17,0,0,0,0,0,0,0.0,0,0,0,0.278,0.367016443,0,0,0.842408,74.67734,0,0.0
0.585022222,6.150634248,0.300720857,2.567820462,0.973847052,287.89057,2.6724,0.0,0,0.998245368,0,2.646664286,47.7860584,12.70287,0.0,9.589074368,0,0,0.0,0.477598624,0.177058,0,0.042960122,0.0,46.11421723,0.0,0.181087127,0.0,0.0,0,0.0,9.442556419,0,0,18.06276,9.22054,0.0,6.396613298,0,0.0,-6.94e-18,0,0,0,0.0,46.71107537,0,-1.94e-16,0,0,0,0,0,0,0.0,0,0,0,0.77274015,0.814342807,0,0,2.869399,175.65517,0,11.93861058
0.766133333,12.58333176,1.722362822,0.0,0.973847052,128.7404,4.3024,20.22863654,0,0.935545385,0,2.782385714,68.75957309,12.71757,0.0,20.22863654,0,0,0.0,0.28324563,0.137686,0,0.246051832,0.0,12.13273414,0.0,0.906227996,0.0,0.0,0,0.0,10.39703959,0,0,17.63128,9.0124,11.37477255,6.396613298,0,0.0,5.45e-18,0,0,0,11.37477255,58.3219035,0,1.53e-16,0,0,0,0,0,0,0.0,0,0,0,1.049152762,0.541489049,0,0,2.143097,86.08595,0,9.846622098
0.858466667,7.703518519,-0.102521907,0.0,0.67769913,72.58316,2.1949,0.0,1,0.997228145,0,2.758875,34.85155308,11.97781,0.0,0.0,0,0,5.022633314,0.174496838,0.212903,0,-0.051260954,0.0,0.0,12.62878915,-0.030586193,0.0,0.0,0,0.0,10.784,0,0,15.61639,8.22642,0.0,3.136253269,0,0.0,1.73e-18,0,0,0,0.0,24.26546827,0,2.78e-17,0,0,0,0,0,0,0.0,0,0,0,0.9072,0.277088728,0,0,1.282688,73.35143,0,0.0
0.693688889,15.63475466,0.240512771,0.0,0.951299642,100.73618,3.6504,0.0,0,0.947184362,0,2.622242857,48.53093655,11.95369,0.0,0.0,0,0,0.0,0.397796927,0.135477,0,0.034358967,0.0,0.0,0.0,0.17056535,0.0,0.0,0,0.0,10.90432254,0,0,16.55409,8.60425,11.37477255,5.184514395,0,0.0,1.98e-18,0,0,0,0.0,58.3219035,0,5.55e-17,0,0,0,0,0,0,0.0,0,0,0,1.169735452,0.554060444,0,0,2.380299,110.32979,0,0.0
0.961,10.17067901,-0.100934235,0.0,0.580204174,57.73298,1.5415,0.0,0,0.999358014,0,2.44575,35.89528683,11.83525,0.0,0.0,0,0,0.0,0.174553041,0.216317,0,-0.050467117,0.0,5.563451492,12.62878915,-0.028941286,0.0,0.0,0,0.0,8.279,0,0,15.50874,8.14199,0.0,2.775326714,0,0.0,-2.17e-18,0,0,0,0.0,30.33183534,0,-3.47e-17,0,0,0,0,0,0,0.0,0,0,0,0.5805,0.277144225,0,0,0.899749,67.69516,0,0.0
0.8398,16.86175926,-0.231007083,0.0,0.807226597,205.34698,3.1872,0.0,0,1.0,0,2.333432,60.66367068,12.52871,0.0,8.417796984,0,0,0.0,0.218514326,0.207497,0,-0.077002361,9.837253136,0.0,0.0,-2.78e-17,0.0,0.0,0,0.0,11.6474629,0,0,16.45749,10.47465,0.0,3.86619988,0,0.0,-4.44e-18,0,0,0,0.0,70.45463764,0,-1.11e-16,0,0,0,0,0,0,0.0,0,0,0,0.75179593,0.424606782,0,0,3.392463,81.87748,0,9.837253136
1.011257143,20.83379063,-0.105123662,0.0,0.953834739,54.4364,4.486,0.0,0,0.95890411,0,2.691583333,60.66367068,11.83529,0.0,0.0,0,0,0.0,0.062188378,0.16516,0,-0.035041221,0.0,9.790966951,0.0,1.87e-16,0.0,0.0,0,0.0,11.6474629,0,0,15.51499,8.60768,0.0,5.128229271,0,0.0,5.78e-18,0,0,0,0.0,70.45463764,0,1.39e-16,0,0,0,0,0,0,0.0,0,0,0,0.75179593,0.125688666,0,0,1.880789,68.62776,0,0.0
0.93448,7.768321523,0.519844731,0.0,0.635298152,338.66694,1.079,0.0,0,0.976960692,0,2.257081818,29.77600755,12.14099,0.031759259,4.794537184,0,0,0.0,1.0,0.128838,0,0.259922365,17.5719964,0.0,4.567099648,0.574892792,14.8911,0.0,1,0.0,14.8911,0,0,18.22359,6.92342,0.0,4.522952948,0,0.314970426,-5.05e-18,0,0,0,0.0,29.77600755,0,-1.11e-16,0,0,0,0,0,0,0.629940853,0,0,0,0.9617,1.369775895,0,0,4.202339,185.59662,0,5.969305288
0.8384,7.995462963,-0.10488972,7.204135802,0.963399025,176.27481,3.276,0.0,0,0.987167225,0,2.735818182,49.05284256,12.09492,0.0,0.0,0,0,0.0,0.264653288,0.195128,0,-0.03496324,0.0,9.790966951,0.0,-9.71e-17,0.0,0.0,0,0.0,10.60801593,0,0,16.03348,8.70364,0.0,5.024221453,0,0.0,6.31e-19,0,0,0,0.0,58.84380951,0,1.39e-17,0,0,0,0,0,0,0.0,0,0,0,0.466596195,0.348712869,0,0,0.765523,82.14325,0,0.0
0.5904,3.66837963,-0.168688475,0.150462963,0.872984055,236.47137,1.1808,0.0,0,0.992861642,0,2.377253333,22.3899441,12.59235,0.0,4.794537184,0,0,0.0,0.480964593,0.214845,0,-0.084344237,0.0,11.33678588,0.0,-0.040070805,7.8926,0.0,0,0.0,7.8926,0,0,17.88276,9.58698,0.0,2.639049753,0,0.044273433,-1.3e-17,0,0,0,0.0,17.51279691,0,-1.94e-16,0,0,0,0,0,0,0.088546866,0,0,0,1.0126,0.78910254,0,0,2.595487,137.89754,0,5.969305288
0.3805,0.0,-0.073428046,6.963904321,0.0,55.69266,0.0,0.0,0,1.044778139,0,1.887315789,0.0,11.90012,0.0,0.0,0,0,0.0,0.175930136,0.259607,0,-0.073428046,0.0,32.10410811,12.62878915,-0.073428046,0.0,0.0,0,0.0,0.0,1,0,15.93071,8.00382,0.0,2.606803758,1,0.0,1.83e-18,0,0,0,0.0,0.0,1,3.47e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.278465967,0,0,1.10692,67.95572,0,0.0
-0.0684,0.0,-0.532001686,0.0,0.0,191.18368,0.0,0.0,0,0.947684391,1,2.00464,0.0,13.32996,0.929783951,4.208898492,0,0,0.0,0.304265896,0.267324,0,-0.266000843,0.0,0.0,4.208898492,-0.266000843,0.0,0.0,0,0.0,0.0,1,0,16.52853,11.25541,0.0,1.680188277,0,0.0,2.78e-17,0,0,0,0.0,0.0,0,2.78e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.570244609,0,0,2.225224,88.8234,1,11.36131649
1.5415,10.80927697,-0.013187509,1.373677485,0.367046959,62.40493,1.5415,0.0,0,0.995816289,1,2.4465,35.89528683,11.85953,0.0,0.0,0,0,0.0,0.142719014,0.198758,0,-0.013187509,0.0,23.48998033,0.0,-0.013187509,0.0,0.0,0,0.0,0.0,1,0,15.77723,7.99948,0.0,4.239941416,0,0.0,-2.31e-18,0,1,0,0.0,30.33183534,0,-5.55e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.21780229,0,0,1.30298,75.62883,1,0.0
1.2964,0.0,-0.175297376,0.0,0.0,52.40699,0.0,0.0,0,0.991926503,0,1.953142857,0.0,11.87926,13.47861111,0.0,0,0,0.0,0.087633231,0.202561,0,-0.175297376,0.0,0.0,0.0,-0.175297376,0.0,0.0,0,0.0,0.0,0,0,15.13757,8.1674,0.0,3.397625989,0,0.0,7.43e-19,0,0,0,0.0,0.0,0,2.08e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.112110876,0,0,1.262125,57.22721,0,0.0
0.3805,0.0,-0.069697112,0.0,0.0,60.46452,0.0,16.74788698,0,1.035255162,0,1.678589744,0.0,11.94662,18.32766975,0.0,0,0,0.0,0.172499827,0.247611,0,-0.069697112,0.0,0.0,12.62878915,-0.069697112,0.0,0.0,0,0.0,0.0,0,0,14.7736,7.83618,0.0,3.490301323,0,0.0,-6.05e-18,0,0,0,0.0,0.0,0,-2.36e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.275335067,0,0,1.100801,65.53282,0,0.0
0.0,0.0,0.0,0.0,0.562893691,134.158,-0.2207,5.917906046,0,1.01504065,0,2.108226667,0.0,11.94114,3.949074074,0.0,0,0,0.0,0.393106796,0.18412800000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,17.52551,7.38898,0.0,2.13293427,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.549840618,0,0,2.856241,145.66065,0,0.0
0.0,0.0,0.0,0.0,0.773064842,142.46542,-0.2207,0.0,0,1.034051859,0,2.495488889,0.0,11.82765,1.675925926,0.0,0,0,0.0,0.39355196,0.186019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,17.58893,7.40304,0.0,1.236020761,0,0.0,-3.39e-17,0,0,0,0.0,0.0,0,-3.05e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.550266357,0,0,2.870367,147.48814,0,0.0
0.3805,0.0,-0.145098471,0.0,0.0,72.74298,0.0,0.0,0,0.964937814,0,2.306,0.0,11.67136,4.057098765,0.0,0,0,0.0,0.175082201,0.244101,0,-0.072549236,0.0,0.0,25.2575783,-0.072549236,0.0,0.0,0,0.0,0.0,0,0,15.35504,8.04973,0.0,2.804923145,0,0.0,-7.59e-18,0,0,0,0.0,0.0,0,-1.21e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.277647251,0,0,1.823043,70.79679,0,0.0
0.9698,17.27470165,-0.281641578,0.0,0.84523539,57.51916,4.1958,13.8474744,0,0.998677467,0,2.469066667,59.65783953,11.87495,4.225321622,0.0,0,0,0.0,0.058182115,0.162863,0,-0.093880526,0.0,20.91786993,0.0,-0.088259299,0.0,0.0,0,0.0,11.22414164,0,0,15.41951,8.5447,0.0,5.462987087,0,0.0,-9.25e-19,0,0,0,0.0,58.3219035,0,-2.78e-17,0,0,0,0,0,0,0.0,0,0,0,0.683395134,0.121691025,0,0,2.333299,65.83676,0,0.0
0.09445,6.397638889,-0.044129705,0.0,0.608178903,243.53241,1.4473,6.9237372,0,0.974329936,0,2.12761,29.82891977,12.74434,1.8818613,8.417796984,0,0,0.0,0.237545435,0.220997,1,-0.044129705,10.02329115,12.13273414,0.0,-0.044129705,0.0,0.0,0,0.0,0.0,0,0,17.60573,9.6559,0.0,2.636173638,0,0.0,2.78e-18,0,0,0,0.0,29.16095175,0,5.55e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.462144652,0,0,2.88186,127.97348,0,10.02329115
-0.087033333,0.0,-0.305812528,0.746527778,0.573328864,175.52729,0.8529,6.9237372,0,0.979806848,0,2.091155556,16.08161446,12.31246,2.185046296,0.0,0,0,0.0,0.395999148,0.210734,0,-0.152906264,0.0,4.877147194,0.0,-0.119855567,0.0,0.0,0,0.0,9.0496,0,0,16.50208,8.95594,0.0,2.939142785,0,0.0,1.39e-17,0,0,0,0.0,5.510539274,0,2.5e-16,0,0,0,0,0,0,0.0,0,0,0,0.70495,0.606083445,1,0,0.94771,116.34165,0,0.0
1.18275,4.147569444,-0.056214879,0.0,0.903702574,4.809,2.3655,6.9237372,0,0.993421053,0,3.063,20.79629655,11.72883,2.092685185,0.0,0,0,0.0,0.133632984,0.202057,0,-0.056214879,0.0,8.663562412,0.0,-0.056214879,0.0,0.0,0,0.0,0.0,0,0,15.79,9.60617,0.0,1.967716975,0,0.0,-6.94e-18,0,0,0,0.0,15.91914935,0,-8.33e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.203714691,0,0,1.202415,70.66312,0,0.0
-0.0124,0.0,-0.081141357,0.0,0.851937722,280.30318,-0.0248,6.9237372,0,0.998744292,0,2.421533333,5.007623697,12.37607,1.869074074,0.0,0,0,0.0,0.373673649,0.212061,0,-0.081141357,5.13155848,11.33678588,0.0,-0.081141357,0.0,0.0,0,0.0,0.0,0,0,17.32477,9.01385,5.13155848,1.457891532,0,0.0,-9.25e-18,0,0,0,0.0,0.0,0,-1.11e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.576212598,0,0,1.949446,130.04828,0,0.0
0.3805,0.0,-0.077160952,23.11900285,0.0,48.94546,0.0,0.0,0,0.999742704,0,1.638578947,0.0,12.01615,2.292060923,0.0,0,0,0.0,0.179363901,0.256136,0,-0.077160952,0.0,102.733146,12.62878915,-0.077160952,0.0,0.0,0,0.0,0.0,0,0,14.81849,8.03704,0.0,18.35,0,0.0,2.68e-18,0,0,0,0.0,0.0,0,1.53e-16,0,0,0,0,0,0,0.0,0,0,0,0.0,0.281601845,0,0,1.018537,67.26155,0,0.0
0.3805,0.0,-0.077160952,8.266319051,0.0,52.94297,0.0,0.0,0,0.999445215,0,1.749222222,0.0,11.95077,2.248621863,0.0,0,0,0.0,0.179363901,0.25615,0,-0.077160952,0.0,38.52492974,12.62878915,-0.077160952,0.0,0.0,0,0.0,0.0,0,0,14.84478,8.03745,0.0,8.35,0,0.0,3.08e-18,0,0,0,0.0,0.0,0,8.33e-17,0,0,0,0,0,0,0.0,0,0,0,0.0,0.281601845,0,0,1.018364,67.35189,0,0.0
0.604585714,9.0420337,-0.130646108,0.0,0.800919351,241.31086,2.8205,0.0,0,0.996620398,0,2.3449125,62.63898737,12.44106,5.903674016,9.589074368,0,0,0.0,0.422110085,0.121224,0,-0.021774351,5.783244946,11.33678588,11.33678588,0.337856354,0.0,0.0,0,0.0,11.47951301,0,0,17.06511,9.62038,5.687386275,6.380383153,0,0.0,1.11e-17,0,0,0,0.0,50.303649,0,4.44e-16,0,0,0,0,0,0,0.0,0,0,0,0.656957553,0.76919563,0,0,5.419125,87.25031,0,5.625586319
0.3805,0.0,-0.077459777,0.0,0.0,59.73737,0.0,0.0,0,1.066687638,0,2.169666667,0.0,11.74784,1.989197531,0.0,0,0,0.0,0.17965217,0.256981,0,-0.077459777,0.0,0.0,12.62878915,-0.077459777,0.0,0.0,0,0.0,0.0,0,0,14.42308,8.05728,0.0,2.35,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.281880103,0,0,0.970529,68.45208,0,0.0
0.90964,14.19562357,0.30491267,0.0,0.965497619,29.92631,4.5482,0.0,1,0.994964363,0,2.839117391,47.48720279,12.07849,0.0,0.0,0,0,5.022633314,0.35363447,0.166779,0,0.060982534,0.0,9.790966951,0.0,0.271320628,0.0,0.0,0,0.0,9.734520093,0,1,17.36563,8.53167,11.37477255,3.472455621,0,0.0,4.83e-18,0,0,0,0.0,52.25553643,0,1.11e-16,0,0,0,0,0,0,0.0,0,0,0,0.711685845,0.520233355,0,0,1.24899,132.02791,1,0.0
