Feature,Effect
c1ccc2scnc2c1,-----------
Mid-Fun_LogP_Std,++++++++++
PEOE_VSA4,+++++++++
Atom_PEOE-Charge_Mean,--------
MaxAbsPartialCharge,-------
EState_VSA1,++++++
NumSaturatedRings,+++++
Mid-Fun_PEOE-Charge_Max,----
Alcohol,+++
EState_VSA5,++
SMR_VSA7,-
