Feature,Effect
PEOE_VSA9,+++++++++++++
LEAE Minimal Value,------------
Fun_PEOE-Charge_Mean,-----------
PEOE_VSA3,++++++++++
VSA_EState3,+++++++++
Num of Conju-Strut,++++++++
Atom_LogP_Delta,-------
Occupied Orbitals,------
Primary_arom_amine,+++++
NumAromaticRings,----
Atom_LogP_Max,---
Mid-Fun_PEOE-Charge_Max,++
ALIE Average Value,+
